Title,cvakb,cvakb1,bvr0c,bvr0c2,bvr0c3,_7udzz,,,,,,
2017 Maruti Vitara Brezza,VDI OPT Manual,Manual,"1,48,572 km",1st Owner,Diesel,"?6,36,399",,,,,,
2017 Renault Duster,RXZ AMT 110 PS Automatic,Automatic,"89,143 km",2nd Owner,Diesel,"?7,24,399",,,,,,
2018 Ford Ecosport,1.5TITANIUM TDCI Manual,Manual,"74,204 km",1st Owner,Diesel,"?7,77,299",,,,,,
2013 BMW 5 Series,520D LUXURY LINE Automatic,Automatic,"83,330 km",2nd Owner,Diesel,"?13,71,599",,,,,,
2017 Maruti Vitara Brezza,ZDI Manual,Manual,"81,842 km",1st Owner,Diesel,"?7,05,399",,,,,,
2016 Hyundai Creta,1.6 SX CRDI Manual,Manual,"85,776 km",1st Owner,Diesel,"?7,56,599",,,,,,
2019 Ford Ecosport,1.5TITANIUM TDCI Manual,Manual,"42,949 km",1st Owner,Diesel,"?8,17,199",,,,,,
2014 Honda City,SV MT DIESEL Manual,Manual,"86,449 km",1st Owner,Diesel,"?4,54,099",,,,,,
2017 Maruti Vitara Brezza,ZDI PLUS DUAL TONE Manual,Manual,"69,262 km",2nd Owner,Diesel,"?6,49,099",,,,,,
2014 Hyundai Elite i20,SPORTZ (O) 1.4 Manual,Manual,"73,924 km",1st Owner,Diesel,"?4,21,099?Title",cvakb,cvakb1,bvr0c,bvr0c2,bvr0c3,_7udzz
2017 Maruti Vitara Brezza,ZDI PLUS Manual,Manual,"75,754 km",2nd Owner,Diesel,"?6,64,799",,,,,,
2014 Hyundai i20,ASTA 1.4 CRDI Manual,Manual,"89,083 km",2nd Owner,Diesel,"?3,99,799",,,,,,
2016 Maruti Vitara Brezza,VDI Manual,Manual,"79,417 km",2nd Owner,Diesel,"?5,72,799",,,,,,
2017 Ford Ecosport,1.5 TREND+ TDCI Manual,Manual,"1,13,206 km",1st Owner,Diesel,"?5,42,999",,,,,,
2018 Maruti Alto K10,VXI Manual,Manual,"68,078 km",1st Owner,Petrol,"?3,53,599",,,,,,
2013 Ford Ecosport,1.5 TITANIUMTDCI OPT Manual,Manual,"81,227 km",2nd Owner,Diesel,"?4,15,499",,,,,,
2015 Hyundai Grand i10,SPORTZ 1.1 CRDI Manual,Manual,"73,894 km",1st Owner,Diesel,"?3,82,199",,,,,,
2016 Mahindra Scorpio,S10 Manual,Manual,"87,784 km",2nd Owner,Diesel,"?9,63,499",,,,,,
2017 Ford Ecosport,1.5TITANIUM TDCI Manual,Manual,"71,633 km",1st Owner,Diesel,"?6,49,099",,,,,,
2017 Maruti Vitara Brezza,VDI OPT Manual,Manual,"88,480 km",1st Owner,Diesel,"?6,30,599",,,,,,
2016 Ford Ecosport,1.5 TREND+ TDCI Manual,Manual,"35,215 km",1st Owner,Diesel,"?5,75,699",,,,,,
2015 Maruti Baleno,ZETA DDIS 190 Manual,Manual,"70,755 km",1st Owner,Diesel,"?4,76,199",,,,,,
2013 Ford Ecosport,1.5 TITANIUMTDCI OPT Manual,Manual,"76,208 km",1st Owner,Diesel,"?4,25,899",,,,,,
2016 Maruti Vitara Brezza,VDI OPT Manual,Manual,"62,861 km",1st Owner,Diesel,"?6,35,399",,,,,,
2016 Renault Duster,85 PS RXL Manual,Manual,"70,946 km",1st Owner,Diesel,"?6,50,099",,,,,,
2015 Maruti Swift,VDI ABS Manual,Manual,"92,673 km",1st Owner,Diesel,"?3,76,599",,,,,,
2014 Toyota Etios,CROSS VD Manual,Manual,"83,974 km",2nd Owner,Diesel,"?4,76,099",,,,,,
2015 Maruti S Cross,ALPHA 1.3 Manual,Manual,"75,945 km",1st Owner,Diesel,"?6,04,599",,,,,,
2017 Maruti Vitara Brezza,ZDI PLUS Manual,Manual,"90,969 km",1st Owner,Diesel,"?7,16,599",,,,,,
2014 Ford Ecosport,1.5TITANIUM TDCI Manual,Manual,"51,221 km",2nd Owner,Diesel,"?4,48,399",,,,,,
2017 Ford Ecosport,1.5 TDCI TITANIUM PLUS Manual,Manual,"26,892 km",1st Owner,Diesel,"?7,63,499",,,,,,
2016 Maruti Vitara Brezza,ZDI PLUS Manual,Manual,"72,183 km",1st Owner,Diesel,"?6,39,899",,,,,,
2015 Maruti Swift,VDI ABS Manual,Manual,"69,898 km",1st Owner,Diesel,"?3,99,499",,,,,,
2015 Maruti Swift,VDI ABS Manual,Manual,"83,583 km",1st Owner,Diesel,"?3,98,899",,,,,,
2017 Maruti Vitara Brezza,ZDI Manual,Manual,"82,051 km",1st Owner,Diesel,"?6,20,799",,,,,,
2016 Maruti Vitara Brezza,ZDI Manual,Manual,"54,904 km",1st Owner,Diesel,"?6,49,099",,,,,,
2017 Maruti Swift,VDI ABS Manual,Manual,"52,839 km",1st Owner,Diesel,"?4,94,399",,,,,,
2016 Maruti Vitara Brezza,ZDI PLUS Manual,Manual,"57,707 km",1st Owner,Diesel,"?6,74,199",,,,,,
2017 Maruti Vitara Brezza,ZDI Manual,Manual,"61,982 km",1st Owner,Diesel,"?6,80,799",,,,,,
2018 Maruti S Cross,ALPHA SHVS Manual,Manual,"38,780 km",2nd Owner,Diesel,"?8,22,299",,,,,,
2015 Maruti Swift,VDI ABS Manual,Manual,"86,816 km",1st Owner,Diesel,"?4,01,499",,,,,,
2017 Maruti S Cross,ZETA 1.3 Manual,Manual,"37,521 km",1st Owner,Diesel,"?7,38,199",,,,,,
2015 Maruti Swift,VDI ABS Manual,Manual,"56,999 km",1st Owner,Diesel,"?4,11,099",,,,,,
2015 Maruti Swift,VDI ABS Manual,Manual,"76,491 km",1st Owner,Diesel,"?3,94,599",,,,,,
2016 Maruti Vitara Brezza,VDI OPT Manual,Manual,"98,820 km",1st Owner,Diesel,"?5,68,999",,,,,,
2017 Ford Ecosport,1.5 TITANIUMTDCI OPT Manual,Manual,"72,887 km",1st Owner,Diesel,"?6,94,399",,,,,,
2017 Maruti S Cross,ALPHA SHVS Manual,Manual,"96,787 km",2nd Owner,Diesel,"?7,09,199",,,,,,
2016 Maruti Vitara Brezza,ZDI Manual,Manual,"1,02,367 km",1st Owner,Diesel,"?5,80,399",,,,,,
2017 Maruti S Cross,ALPHA SHVS Manual,Manual,"91,763 km",2nd Owner,Diesel,"?6,95,599",,,,,,
2016 Maruti Vitara Brezza,ZDI PLUS DUAL TONE Manual,Manual,"90,492 km",1st Owner,Diesel,"?6,85,599",,,,,,
2014 Maruti Swift,ZDI Manual,Manual,"73,654 km",1st Owner,Diesel,"?3,85,499",,,,,,
2014 Hyundai i10,ERA 1.1 IRDE Manual,Manual,"29,540 km",2nd Owner,Petrol,"?2,66,199",,,,,,
2018 Mahindra KUV 100 NXT,K2 6 STR Manual,Manual,"19,955 km",1st Owner,Petrol,"?4,08,099",,,,,,
2018 Datsun Redi Go,A Manual,Manual,"22,898 km",2nd Owner,Petrol,"?2,42,999",,,,,,
2020 Maruti Swift,LXI Manual,Manual,"9,371 km",1st Owner,Petrol,"?5,86,699",,,,,,
2021 MG HECTOR PLUS,SHARP HYBRID PETROL Manual,Manual,"3,587 km",1st Owner,Petrol,"?18,19,949",,,,,,
2013 Maruti Wagon R 1.0,VXI Manual,Manual,"87,376 km",1st Owner,Petrol,"?2,69,699",,,,,,
2020 Maruti Swift,LXI Manual,Manual,"17,435 km",1st Owner,Petrol,"?5,92,499",,,,,,
2014 Maruti Alto 800,LXI Manual,Manual,"48,604 km",2nd Owner,Petrol,"?2,37,899",,,,,,
2011 Maruti A Star,VXI Manual,Manual,"23,629 km",2nd Owner,Petrol,"?2,31,699",,,,,,
2014 Hyundai Eon,ERA PLUS Manual,Manual,"29,651 km",1st Owner,Petrol,"?2,57,999",,,,,,
2020 Maruti Baleno,SIGMA 1.2 K12 Manual,Manual,"13,525 km",1st Owner,Petrol,"?6,00,999",,,,,,
2011 Maruti Alto K10,VXI Manual,Manual,"38,042 km",1st Owner,Petrol,"?2,37,899",,,,,,
2009 Hyundai i10,SPORTZ 1.2 AT Automatic,Automatic,"38,983 km",1st Owner,Petrol,"?2,02,099",,,,,,
2010 Maruti Swift,VXI Manual,Manual,"20,730 km",1st Owner,Petrol,"?2,80,999",,,,,,
2019 Renault Kwid,RXL Manual,Manual,867 km,2nd Owner,Petrol,"?3,78,299",,,,,,
2018 Hyundai Elite i20,Magna Executive 1.2 Manual,Manual,"30,023 km",1st Owner,Petrol,"?5,36,399",,,,,,
2021 Maruti Ciaz,1.5 SIGMA SHVS Manual,Manual,"18,855 km",1st Owner,Petrol,"?8,85,699",,,,,,
2013 Maruti Swift Dzire,VXI Manual,Manual,"37,291 km",2nd Owner,Petrol,"?3,67,899",,,,,,
2015 Maruti Celerio,LXI Manual,Manual,"24,668 km",1st Owner,Petrol,"?3,53,899",,,,,,
2019 Maruti Baleno,SIGMA 1.2 K12 Manual,Manual,"25,009 km",2nd Owner,Petrol,"?5,45,299",,,,,,
2017 Mahindra Scorpio,S10 Manual,Manual,"52,999 km",1st Owner,Diesel,"?10,74,399",,,,,,
2013 Maruti Swift Dzire,VXI 1.2 BS IV Manual,Manual,"49,879 km",1st Owner,Petrol,"?3,87,099",,,,,,
2022 Maruti New  Wagon-R,1.0 LXI (O) Manual,Manual,"6,943 km",1st Owner,Petrol,"?5,87,199",,,,,,
2022 Tata PUNCH,ADVENTURE AMT ,,"8,964 km",1st Owner,Petrol,"?7,81,399",,,,,,
2014 Maruti Swift,VXI Manual,Manual,"51,321 km",1st Owner,Petrol,"?4,41,899",,,,,,
2014 Honda City,VX MT PETROL Manual,Manual,"43,748 km",1st Owner,Petrol,"?6,54,299",,,,,,
2016 Hyundai Eon,MAGNA PLUS Manual,Manual,"38,231 km",1st Owner,Petrol,"?3,19,399",,,,,,
2017 Renault Kwid,RXT Manual,Manual,"31,486 km",1st Owner,Petrol,"?3,50,699",,,,,,
2020 Maruti New  Wagon-R,VXI 1.0 Manual,Manual,"20,862 km",1st Owner,Petrol,"?5,40,299",,,,,,
2018 Hyundai Verna,1.6 CRDI SX + AT Automatic,Automatic,"74,743 km",1st Owner,Diesel,"?9,87,399",,,,,,
2014 Ford Ecosport,1.5 TITANIUMTDCI OPT Manual,Manual,"1,56,491 km",1st Owner,Diesel,"?4,08,299",,,,,,
2017 Toyota Corolla Altis,J S Manual,Manual,"1,28,020 km",2nd Owner,Petrol + CNG,"?7,72,499",,,,,,
2019 Honda City,V MT PETROL Manual,Manual,"41,236 km",1st Owner,Petrol,"?8,31,039",,,,,,
2021 Maruti Alto,LXI CNG Manual,Manual,"17,920 km",1st Owner,Petrol + CNG,"?5,07,699",,,,,,
2012 Maruti Swift,ZXI Manual,Manual,"96,633 km",1st Owner,Petrol,"?3,72,999",,,,,,
2016 Mahindra Kuv100,K8 6 STR Manual,Manual,"19,930 km",1st Owner,Petrol,"?4,60,899",,,,,,
2020 Hyundai Creta,S CRDI Manual,Manual,"15,734 km",1st Owner,Diesel,"?14,50,499",,,,,,
2019 Maruti Dzire,VXI Manual,Manual,"41,332 km",1st Owner,Petrol,"?6,34,799",,,,,,
2018 Renault Kwid,RXT Manual,Manual,"25,236 km",1st Owner,Petrol,"?3,42,199",,,,,,
2017 Mahindra Thar,CRDE 4X4 BS IV Manual,Manual,"14,613 km",2nd Owner,Diesel,"?7,10,699",,,,,,
2018 Maruti Swift,VXI Manual,Manual,"21,348 km",1st Owner,Petrol,"?5,60,599",,,,,,
2013 Maruti Swift Dzire,LDI BS IV Manual,Manual,"50,409 km",2nd Owner,Diesel,"?3,03,099",,,,,,
2020 Tata ALTROZ,XE RHYTM ,,"26,584 km",1st Owner,Petrol,"?5,71,699",,,,,,
2020 Hyundai Elite i20,1.2 SPORTS PLUS VTVT Manual,Manual,"28,785 km",1st Owner,Petrol,"?6,98,099",,,,,,
2017 Maruti Wagon R 1.0,LXI CNG Manual,Manual,"85,445 km",1st Owner,Petrol + CNG,"?4,10,499",,,,,,
2014 Maruti Swift Dzire,VXI 1.2 BS IV Manual,Manual,"34,201 km",2nd Owner,Petrol,"?4,17,299",,,,,,
2020 Maruti Swift,ZXI+ Manual,Manual,"14,030 km",1st Owner,Petrol,"?7,62,599",,,,,,
2018 Maruti Wagon R 1.0,VXI Manual,Manual,"19,064 km",1st Owner,Petrol,"?4,18,699",,,,,,
2017 Renault Kwid,1.0 RXL Manual,Manual,"56,833 km",1st Owner,Petrol,"?3,07,199",,,,,,
2021 Hyundai Creta,S CRDI Manual,Manual,"34,068 km",1st Owner,Diesel,"?14,50,499",,,,,,
2018 Honda Amaze,1.2 SAT I VTEC Automatic,Automatic,"21,952 km",1st Owner,Petrol + CNG,"?7,20,399",,,,,,
2017 Tata Tiago,XZA 1.2 REVOTRON Automatic,Automatic,"36,134 km",2nd Owner,Petrol,"?4,17,399",,,,,,
2017 Honda WR-V,1.2 i-VTEC VX MT Manual,Manual,"18,472 km",1st Owner,Petrol,"?7,19,499",,,,,,
2015 Hyundai Grand i10,MAGNA 1.2 VTVT Manual,Manual,"46,249 km",1st Owner,Petrol,"?3,93,599",,,,,,
2014 Hyundai Verna,FLUIDIC 1.6 SX VTVT Manual,Manual,"78,904 km",1st Owner,Petrol,"?5,16,599",,,,,,
2020 Honda City,ZX CVT Automatic,Automatic,"10,277 km",1st Owner,Petrol,"?12,94,399",,,,,,
2017 Tata Tiago,XM 1.2 REVOTRON Manual,Manual,"77,099 km",1st Owner,Petrol + CNG,"?3,78,799",,,,,,
2016 Mahindra Kuv100,K8 5 STR Manual,Manual,"71,807 km",1st Owner,Petrol,"?3,53,499",,,,,,
2014 Hyundai Elite i20,SPORTZ 1.2 Manual,Manual,"74,012 km",1st Owner,Petrol,"?4,48,499",,,,,,
2016 Maruti Ciaz,VXI PLUS Manual,Manual,"83,441 km",1st Owner,Petrol + CNG,"?6,59,199",,,,,,
2017 Maruti Baleno,DELTA 1.2 K12 Manual,Manual,"19,571 km",1st Owner,Petrol,"?5,64,299",,,,,,
2018 Mahindra Scorpio,S7 120 BHP 2WD Manual,Manual,"42,162 km",1st Owner,Diesel,"?10,93,699",,,,,,
2014 Mahindra XUV500,W8 FWD Manual,Manual,"79,472 km",2nd Owner,Diesel,"?5,84,699",,,,,,
2014 Renault Duster,85 PS RXE Manual,Manual,"1,59,515 km",1st Owner,Diesel,"?3,83,499",,,,,,
2018 Maruti Dzire,ZDI Plus AMT Automatic,Automatic,"28,447 km",3rd Owner,Diesel,"?6,80,699",,,,,,
2017 Hyundai Grand i10,Magna 1.2 AT  VTVT Automatic,Automatic,"37,536 km",1st Owner,Petrol,"?5,21,299",,,,,,
2013 Honda Amaze,1.5 EMT I DTEC Manual,Manual,"48,160 km",1st Owner,Diesel,"?2,96,499",,,,,,
2013 Toyota Etios Liva,GD Manual,Manual,"1,19,092 km",1st Owner,Diesel,"?2,97,199",,,,,,
2018 Maruti Swift,VXI Manual,Manual,"56,195 km",1st Owner,Petrol,"?5,29,299",,,,,,
2017 Maruti Ciaz,DELTA 1.3 DDIS SHVS Manual,Manual,"68,559 km",1st Owner,Diesel,"?6,08,499",,,,,,
2013 Mahindra XUV500,W8 FWD Manual,Manual,"72,062 km",1st Owner,Diesel,"?5,51,099",,,,,,
2020 Maruti Alto,LXI CNG (O) Manual,Manual,"39,317 km",1st Owner,Petrol + CNG,"?4,45,799",,,,,,
2013 Maruti Ertiga,VDI ABS Manual,Manual,"1,19,766 km",3rd Owner,Diesel,"?4,19,799",,,,,,
2019 Maruti Alto 800,VXI Manual,Manual,"42,236 km",2nd Owner,Petrol,"?3,15,799",,,,,,
2013 Maruti Ertiga,VDI ABS Manual,Manual,"1,61,137 km",1st Owner,Diesel,"?4,65,899",,,,,,
2018 Maruti Celerio,VXI CNG Manual,Manual,"73,708 km",1st Owner,Petrol + CNG,"?4,95,299",,,,,,
2018 Maruti Alto K10,VXI (O) AMT Automatic,Automatic,"59,822 km",2nd Owner,Petrol,"?3,30,999",,,,,,
2017 Volkswagen Ameo,HIGHLINE PLUS DSG 1.5 Automatic,Automatic,"40,325 km",1st Owner,Diesel,"?6,28,799",,,,,,
2017 Ford Ecosport,1.5 TREND+ TDCI Manual,Manual,"78,972 km",1st Owner,Diesel,"?5,64,599",,,,,,
2017 Hyundai Creta,1.4 E PLUS CRDI Manual,Manual,"95,601 km",1st Owner,Diesel,"?7,71,499",,,,,,
2016 Maruti Swift Dzire,VDI ABS Manual,Manual,"58,807 km",2nd Owner,Diesel,"?4,63,199",,,,,,
2016 Maruti Swift,VDI ABS Manual,Manual,"1,06,627 km",1st Owner,Diesel,"?3,97,899",,,,,,
2015 Hyundai Grand i10,SPORTZ 1.1 CRDI Manual,Manual,"87,019 km",2nd Owner,Diesel,"?3,56,199",,,,,,
2015 Maruti Swift,LDI BS IV Manual,Manual,"46,867 km",1st Owner,Diesel,"?3,90,899",,,,,,
2014 Maruti Swift,LDI BS IV Manual,Manual,"47,617 km",1st Owner,Diesel,"?3,26,699",,,,,,
2015 Maruti Swift,VDI Manual,Manual,"30,528 km",1st Owner,Diesel,"?4,08,499",,,,,,
2013 Toyota Fortuner,3.0 AT 4X2 Automatic,Automatic,"76,155 km",1st Owner,Diesel,"?12,26,199",,,,,,
2015 Maruti Swift,VDI ABS Manual,Manual,"47,493 km",1st Owner,Diesel,"?4,18,499",,,,,,
2014 Ford Ecosport,1.5 TITANIUMTDCI OPT Manual,Manual,"50,178 km",1st Owner,Diesel,"?4,38,599",,,,,,
2016 Maruti Vitara Brezza,ZDI Manual,Manual,"72,730 km",1st Owner,Diesel,"?5,93,599",,,,,,
2013 Maruti Swift,VDI Manual,Manual,"76,978 km",1st Owner,Diesel,"?3,19,699",,,,,,
2013 Ford Ecosport,1.5 AMBIENTE TDCI Manual,Manual,"1,14,858 km",1st Owner,Diesel,"?3,52,699",,,,,,
2014 Toyota Innova,2.5 VX 8 STR BS IV Manual,Manual,"70,100 km",1st Owner,Diesel,"?9,89,999",,,,,,
2020 Maruti Swift,LXI Manual,Manual,"19,919 km",1st Owner,Petrol,"?5,66,799",,,,,,
2012 Hyundai i10,MAGNA 1.2 KAPPA2 Manual,Manual,"51,410 km",1st Owner,Petrol,"?2,48,599",,,,,,
2017 Maruti IGNIS,DELTA 1.2 K12 AMT Automatic,Automatic,"61,116 km",1st Owner,Petrol,"?4,76,999",,,,,,
2018 Honda Amaze,1.2 V CVT I VTEC Automatic,Automatic,"53,849 km",1st Owner,Petrol,"?6,72,199",,,,,,
2018 Maruti Wagon R 1.0,LXI CNG Manual,Manual,"56,254 km",1st Owner,Petrol + CNG,"?4,37,599",,,,,,
2013 Maruti Swift Dzire,VXI Manual,Manual,"25,068 km",1st Owner,Petrol,"?3,98,999",,,,,,
2018 Maruti Baleno,DELTA 1.2 K12 Manual,Manual,"37,697 km",1st Owner,Petrol,"?5,86,799",,,,,,
2017 Maruti Wagon R 1.0,LXI CNG Manual,Manual,"77,117 km",2nd Owner,Petrol + CNG,"?3,69,999",,,,,,
2018 Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT Manual,Manual,"52,793 km",1st Owner,Petrol,"?4,97,899",,,,,,
2011 Maruti Swift,ZXI Manual,Manual,"67,620 km",1st Owner,Petrol,"?3,32,199",,,,,,
2016 Maruti Celerio,VXI CNG Manual,Manual,"69,575 km",1st Owner,Petrol + CNG,"?3,81,299",,,,,,
2016 Hyundai Creta,1.6 SX PLUS VTVT ANNIVERSARY EDITION Manual,Manual,"51,297 km",2nd Owner,Petrol,"?8,51,799",,,,,,
2015 Maruti Alto 800,LXI Manual,Manual,"95,793 km",1st Owner,Petrol,"?2,32,699",,,,,,
2018 Hyundai Verna,1.6 SX VTVT Manual,Manual,"24,712 km",1st Owner,Petrol,"?9,02,899",,,,,,
2017 Renault Kwid,RXT 1.0 EASY-R  AT Automatic,Automatic,"38,219 km",2nd Owner,Petrol,"?2,66,499",,,,,,
2013 Hyundai i10,SPORTZ 1.2 KAPPA2 Manual,Manual,"43,384 km",1st Owner,Petrol,"?3,20,599",,,,,,
2021 Maruti New  Wagon-R,LXI CNG 1.0 L Manual,Manual,"19,087 km",1st Owner,Petrol + CNG,"?6,08,899",,,,,,
2021 Renault Kiger,RXL EASY R 1.0 L ,,"15,795 km",1st Owner,Petrol,"?7,97,799",,,,,,
2017 Maruti Alto K10,VXI OPT Manual,Manual,"48,136 km",1st Owner,Petrol,"?3,72,999",,,,,,
2015 Hyundai i10,MAGNA 1.1 IRDE2 Manual,Manual,"45,657 km",1st Owner,Petrol,"?3,50,999",,,,,,
2021 Tata TIGOR,XZ 1.2 REVOTRON Manual,Manual,649 km,1st Owner,Petrol,"?7,31,399",,,,,,
2018 Tata Tiago,XE 1.2 REVOTRON Manual,Manual,"16,179 km",1st Owner,Petrol,"?4,49,499",,,,,,
